X	Y	Z
1.17E+06	-579719	-172.721
1.17E+06	-564330	-41.5129
1.17E+06	-571286	-172.721
1.16E+06	-588901	-172.721
1.16E+06	-585716	-172.721
1.23E+06	-420609	-172.721
1.23E+06	-417908	-172.721
1.19E+06	-470939	-52.0555
1.19E+06	-477800	-82.9819
1.20E+06	-474873	-172.721
1.20E+06	-469798	-76.9072
1.20E+06	-473738	-172.721
1.20E+06	-459218	-64.4328
1.20E+06	-465590	-69.7156
1.20E+06	-462737	-172.721
1.20E+06	-457347	-172.721
1.20E+06	-470070	-172.721
1.20E+06	-467381	-172.721
1.19E+06	-483800	-48.2597
1.19E+06	-485476	-172.721
1.20E+06	-482680	-172.721
1.19E+06	-488691	-102.236
1.19E+06	-487526	-172.721
1.19E+06	-493317	-138.816
1.19E+06	-489188	-172.721
1.25E+06	-394840	-100.575
1.25E+06	-396365	-172.721
1.26E+06	-384067	-79.9126
1.26E+06	-389801	-172.721
1.25E+06	-401091	-172.721
1.25E+06	-395096	-172.721
1.26E+06	-391235	-172.721
1.27E+06	-379330	-79.2069
1.27E+06	-381331	-73.9959
1.27E+06	-382168	-172.721
1.32E+06	-340014	-106.367
1.32E+06	-344970	-172.721
1.28E+06	-379908	-93.4362
1.28E+06	-381232	-172.721
1.28E+06	-381852	-172.721
1.29E+06	-381676	-172.721
1.30E+06	-366716	-98.78
1.30E+06	-367513	-172.721
1.32E+06	-328472	-56.7603
1.32E+06	-333522	-61.0852
1.32E+06	-331969	-172.721
1.32E+06	-328527	-172.721
1.41E+06	649879	-93.327
1.41E+06	655965	-172.721
1.14E+06	907450	-172.721
399916	634112	-165.352
405667	627364	-117.408
405416	635287	-172.721
403940	635255	-172.721
532488	594908	-159.36
536563	591753	-142.65
411105	629452	-159.651
410021	623495	-135.584
414561	626753	-172.721
526634	595383	-144.189
515045	599011	-158.171
520847	594387	-84.4882
519831	598398	-172.721
412423	618547	-158.301
414991	623883	-172.721
406374	634612	-172.721
439401	615867	-146.399
